AI Category,ML Model Used,ML Model Description,Primary Function,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Compliance Cost,Daily Data Volume (GB),Scope
AI Chatbots & Conversational AI,LLM Trained on School Data,"The LAUSD Ed Chatbot is based on a large language model (LLM) that is fine-tuned on school-specific data. It assists students, parents, and staff by providing information about school schedules, events, and educational resources. The model understands the specific needs of the school community, improving engagement.",Social AI,Auto,Assistive,Text,Unstructured,Semi-Stable,Medium,51,Information,Moderate,0.2,Department
AI Energy Management,Energy Sensor Analytics ML,"This model applies machine learning to analyze data from energy sensors installed in buildings or factories. By processing usage patterns, the system identifies inefficiencies and suggests optimizations to reduce energy consumption, contributing to environmental sustainability and cost savings.",Energy AI,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Security & Surveillance,CNN Image Recognition,"This system uses Convolutional Neural Networks (CNN) to analyze and classify images. The model identifies patterns and features in visual data, allowing it to classify objects and people accurately. It is often used in applications like image recognition for photo tagging and medical imaging.",Security AI,Auto,Descriptive,Image,Unstructured,Unstable,High,56,Administrative and Support and Waste Management and Remediation Services,Very-High,250,Proof of Concept
AI Education Technology,Adaptive Learning ML,"This system applies machine learning to personalize educational content and experiences. By analyzing student performance data, the system tailors lessons to the individual learners pace, helping to optimize learning outcomes and engagement.",Content AI,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,51,Software Publishers,Moderate,1,Department
AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI Recruitment & HR,Text Classification Model,This AI-driven resume screening tool employs text classification models to parse and analyze resumes. It classifies candidate qualifications into predefined categories based on job requirements. The model is trained on historical hiring data to improve its accuracy in identifying the best candidates for specific job roles.,HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Supply Chain & Demand Forecasting,Risk Analysis NLP + Stats,"This system integrates Natural Language Processing (NLP) with statistical models to assess and predict risks. NLP is used to extract and analyze risk-related information from unstructured textual data, while statistical methods are employed to quantify and model the potential impact of those risks in areas like finance, insurance, and project management.",Logistics AI,Indirect,Assistive,Text+Numeric,Semi-Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1.2,Enterprise
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1,Department
AI Voice Assistants & Speech AI,DNN ASR + Rule-based NLP,"Siri Assistant uses a combination of Deep Neural Networks (DNN) for Automatic Speech Recognition (ASR) and rule-based natural language processing (NLP) to understand and process voice commands. The system interprets user queries and provides relevant responses, continually improving through machine learning algorithms.",Retail AI,Auto,Assistive,Audio,Unstructured,Stable,Medium,44,Retail Trade,High,20,Enterprise
AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",Manufacturing AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,100,Enterprise
